,Unstandardised Residuals,Standardised Residuals,Date,Loss,Estimated VaR 95%,Estimated VaR 99%,Estimated ES 95%,Estimated ES 99%,var_95_hist,var_99_hist
694,0.013853024106622591,2.2413332549983735,8/10/2015,0.013853024106622591,0.010079955197683786,0.014068785201187985,0.013108233468798212,0.018823692605371062,1.6308741412398007,2.276242059939605
696,0.0004309870915699676,0.05931646399281807,8/12/2015,0.0004309870915699676,0.011867938992220082,0.016538931674035456,0.015586710869521757,0.02212868854000201,1.6333764738443461,2.276242059939605
697,0.00043109559217135995,0.061188792740741176,8/13/2015,0.00043109559217135995,0.011507685749156147,0.016036889678682262,0.01511357369354486,0.02145696855420554,1.6333764738443461,2.276242059939605
698,0.0038886676098845996,0.5692241403306074,8/14/2015,0.0038886676098845996,0.011158448383613812,0.015550199198514544,0.01465490417686549,0.020805788522551917,1.6333764738443461,2.276242059939605
699,0.004338248362444119,0.6483175369739917,8/17/2015,0.004338248362444119,0.01092981819678009,0.015231584564487212,0.014354633622680973,0.020379489887329533,1.6333764738443461,2.276242059939605
706,0.04018815947259302,2.956355903279106,8/26/2015,0.04018815947259302,0.022203819958493347,0.03094281672974885,0.029161299372942928,0.041400736604887675,1.6333764738443461,2.276242059939605
707,0.022999179760526012,1.3981080249045692,8/27/2015,0.022999179760526012,0.026869396691378264,0.03744467479084414,0.03528881617453053,0.05010006463894401,1.6543696850619463,2.637421076207225
711,0.019426004360696858,1.1463890829119237,9/2/2015,0.019426004360696858,0.02803393123265392,0.044692115522642045,0.03723505681227796,0.05269073188207807,1.6543696850619463,2.637421076207225
712,0.001226652616661994,0.0717157421007516,9/3/2015,0.001226652616661994,0.028296951877825542,0.04511142699777179,0.03758440448615539,0.053185088174072054,1.6333764738443461,2.637421076207225
714,0.024441147530065876,1.4733291765895355,9/8/2015,0.024441147530065876,0.02709618190130397,0.043752339020192155,0.0362803978552433,0.0515827621397512,1.6333764738443461,2.637421076207225
716,0.0040749981111751765,0.23991882725228222,9/10/2015,0.0040749981111751765,0.027742741668017077,0.04479634227545104,0.03714610822207605,0.05281361225645677,1.6333764738443461,2.637421076207225
717,0.006965857016266064,0.4222320408535858,9/11/2015,0.006965857016266064,0.026946953025002617,0.04351137841506627,0.036080588043535346,0.051298676446103544,1.6333764738443461,2.637421076207225
719,0.014442070745467994,0.9244671726095849,9/15/2015,0.014442070745467994,0.025516686030781537,0.041201919220834174,0.034165533893892715,0.048575889803026996,1.6318622133887666,2.637421076207225
720,0.007928090605187066,0.509721338955845,9/16/2015,0.007928090605187066,0.025381616373820238,0.041021851859359144,0.03401621809360961,0.04836359551010217,1.6318622133887666,2.637421076207225
723,0.00865085137450805,0.5781422099963781,9/21/2015,0.00865085137450805,0.024417863334680927,0.03946423102787584,0.03272460478242758,0.046527204892968674,1.6318622133887666,2.637421076207225
727,0.006928946627286159,0.507041725349742,9/25/2015,0.006928946627286159,0.022300109861484348,0.03604151089955023,0.029886410281660586,0.04249191530150529,1.6318622133887666,2.637421076207225
729,0.0016069529270943406,0.11702503347557422,9/29/2015,0.0016069529270943406,0.022408246189197345,0.0362162811880427,0.030031333633000867,0.0426979644961836,1.6318622133887666,2.637421076207225
730,0.014989217524910003,1.125384476452529,9/30/2015,0.014989217524910003,0.02173509427131068,0.03512833084446756,0.029129181377930833,0.04141530201346244,1.6318622133887666,2.637421076207225
732,0.012315401049095343,0.9461264630904254,10/2/2015,0.012315401049095343,0.02124138621923981,0.03433039826698547,0.02846751820697786,0.040474562220583675,1.6318622133887666,2.637421076207225
733,0.018762258498826512,1.4459592871374574,10/5/2015,0.018762258498826512,0.02117446940202587,0.03422224708692581,0.028377836879557455,0.04034705505819915,1.6318622133887666,2.637421076207225
734,0.0016848822550672438,0.12579819166529094,10/6/2015,0.0016848822550672438,0.02185640071336657,0.03532438671507536,0.02929175520019493,0.04164644630348536,1.6318622133887666,2.637421076207225
735,0.007192796941338564,0.5536298289044527,10/7/2015,0.007192796941338564,0.021201266485903928,0.034265556622020764,0.02841375009469883,0.04039811576711702,1.6135019245440325,2.276242059939605
736,0.008100643232748617,0.6368981225087841,10/8/2015,0.008100643232748617,0.020521968874078787,0.02895129407245697,0.026884559116899433,0.037449227623522284,1.6135019245440325,2.276242059939605
737,0.0021427992792535377,0.17156047302306157,10/9/2015,0.0021427992792535377,0.020152723410376674,0.02843038235730164,0.026400833527095758,0.03677541520796017,1.6135019245440325,2.276242059939605
738,0.003007552445560613,0.2481289590889113,10/12/2015,0.003007552445560613,0.01955713543835208,0.02759015875936597,0.025620590649745215,0.035688564834536515,1.6135019245440325,2.276242059939605
741,0.013267757585501805,1.1747920137050627,10/15/2015,0.013267757585501805,0.01802066329686722,0.025707212429845444,0.023834135023509003,0.033252926361153914,1.5956374833047464,2.276242059939605
742,0.0038853101833602466,0.3401669047798582,10/16/2015,0.0038853101833602466,0.018225013885014282,0.025998726892610728,0.024104409176562914,0.03363000765652965,1.5956374833047464,2.276242059939605
743,0.0012983247011044696,0.11681209312061133,10/19/2015,0.0012983247011044696,0.017734940820242715,0.025299617643706543,0.023456238384804044,0.032725692245605405,1.5956374833047464,2.276242059939605
746,0.01873274072293718,1.843505128307957,10/22/2015,0.01873274072293718,0.01621403857443167,0.023129988453370883,0.021444692589454754,0.029919222275587132,1.5956374833047464,2.276242059939605
747,0.009721657887250323,0.8945143384060359,10/23/2015,0.009721657887250323,0.017341523840080208,0.024738392248395812,0.02293590496137426,0.03199973307001581,1.6135019245440325,2.276242059939605
750,0.012008311832820695,1.1791220670009188,10/28/2015,0.012008311832820695,0.016432085188654154,0.023181505314594043,0.02158652172835226,0.02998586063232404,1.6135019245440325,2.276242059939605
753,0.010270167156469334,1.0487181121574336,11/2/2015,0.010270167156469334,0.015801133097875356,0.022291391912812146,0.020757651815570283,0.028834476541835644,1.6135019245440325,2.276242059939605
754,0.004949463641144902,0.5038982722438466,11/3/2015,0.004949463641144902,0.015848375655043805,0.022358039181098677,0.020819713475737658,0.028920686460960562,1.6135019245440325,2.276242059939605
756,0.0009002888646989504,0.09648322642703948,11/5/2015,0.0009002888646989504,0.015055651325422734,0.02123970617289304,0.0197783264107671,0.02747409456498605,1.5956374833047464,2.276242059939605
757,0.0018023889574454444,0.1991707421628205,11/6/2015,0.0018023889574454444,0.014439667938995983,0.02059877624974713,0.01916717595024727,0.026645035576377565,1.5956374833047464,2.276242059939605
759,0.0017888572552511306,0.20270861107226756,11/10/2015,0.0017888572552511306,0.014081136828187043,0.02008731697233661,0.018691262728866752,0.02598345012696822,1.5956374833047464,2.276242059939605
763,0.01402318305687178,1.5574692338849576,11/16/2015,0.01402318305687178,0.014366843359707383,0.02049488901213298,0.019070508801762667,0.026510654819550106,1.5956374833047464,2.276242059939605
764,0.0008829371387850671,0.09411941461589024,11/17/2015,0.0008829371387850671,0.014968724569706805,0.021353497148143014,0.019869444282962435,0.02762128605573509,1.5956374833047464,2.276242059939605
765,0.01423501057629295,1.5646620610541362,11/18/2015,0.01423501057629295,0.014516819328686112,0.02070883585917153,0.019269586495091116,0.02678740045150802,1.5956374833047464,2.276242059939605
767,0.005390968498756088,0.5862364536497439,11/20/2015,0.005390968498756088,0.014673313736081224,0.020932081524922822,0.019477316745845095,0.02707617433953393,1.5956374833047464,2.276242059939605
769,0.0018002206024974043,0.2057499199892289,11/24/2015,0.0018002206024974043,0.01396112072224713,0.01991610909393757,0.018531953676253335,0.025761988426739563,1.5956374833047464,2.276242059939605
773,0.009012903131878858,1.1566543062960464,12/1/2015,0.009012903131878858,0.012433555983268643,0.01773697558490141,0.0165042683962946,0.022943224381246435,1.5956374833047464,2.276242059939605
776,0.021486846055452702,2.5696571791190195,12/4/2015,0.021486846055452702,0.013183204021852959,0.01874409590407432,0.017345131956547955,0.0239265557321233,1.5766071377399018,2.2416459112563407
780,0.005338129819590698,0.5780257264025588,12/10/2015,0.005338129819590698,0.014735883961250648,0.02101512900947489,0.01951689794475447,0.026974261341152876,1.5956374833047464,2.2755694637783472
782,0.006589196340298642,0.6668513982398213,12/14/2015,0.006589196340298642,0.015766584119321,0.022485030431669335,0.020882005721769983,0.02886097377057117,1.5956374833047464,2.2755694637783472
783,0.009743186320387842,1.0028960792896788,12/15/2015,0.009743186320387842,0.015501699149770407,0.02210727285550937,0.02053117960700058,0.028376097775836842,1.5766071377399018,2.2416459112563407
784,0.011638542399454721,1.1977824835682882,12/16/2015,0.011638542399454721,0.015319483521919995,0.021781493168107277,0.019850188740257586,0.026275524516389495,1.5766071377399018,2.2416459112563407
787,0.007421950642604536,0.6706734836579327,12/21/2015,0.007421950642604536,0.01744738780376733,0.024806982409381326,0.022607416263981443,0.02992524293190971,1.5766071377399018,2.2416459112563407
